n_bits,threads,avg_cbs_ms,avg_lut_ms,avg_total_ms,iters
4,1,49.501870,0.679469,50.181339,1
4,1,46.056765,0.505966,46.562731,2
4,1,40.166632,0.311628,40.478261,4
4,1,39.115869,0.268444,39.384313,8
4,1,41.998502,0.304009,42.302511,16
4,1,56.234684,0.340189,56.574873,44
4,1,38.488235,0.304055,38.792291,88
4,1,38.567789,0.298025,38.865814,132
4,1,38.492553,0.285317,38.777871,176
4,1,38.949296,0.297338,39.246634,220
4,1,38.737314,0.289719,39.027034,264
4,1,38.625195,0.283389,38.908584,308
4,1,37.951592,0.284846,38.236438,352
4,1,38.151143,0.273928,38.425072,396
4,1,38.991052,0.289942,39.280994,440
4,2,43.680144,0.414472,44.094616,1
4,2,47.570762,0.870420,48.441182,2
4,2,50.956898,0.446344,51.403241,4
4,2,52.458185,0.485886,52.944071,8
4,2,42.397805,0.332028,42.729833,16
4,2,39.972279,0.328049,40.300328,39
4,2,39.102303,0.274442,39.376746,78
4,2,39.102016,0.284903,39.386918,117
4,2,39.071292,0.332009,39.403301,156
4,2,38.193271,0.285344,38.478614,195
4,2,38.683261,0.303905,38.987166,234
4,2,38.498588,0.271679,38.770268,273
4,2,39.651130,0.300361,39.951491,312
4,2,40.454942,0.329843,40.784785,351
4,2,39.200231,0.290196,39.490428,390
4,4,38.108330,0.463094,38.571424,1
4,4,47.574959,0.749326,48.324286,2
4,4,52.721764,0.706638,53.428402,4
4,4,52.260405,0.513383,52.773788,8
4,4,43.311214,0.350608,43.661822,16
4,4,39.678802,0.341879,40.020681,39
4,4,39.921106,0.314797,40.235903,78
4,4,40.448757,0.343109,40.791866,117
4,4,40.449403,0.343541,40.792945,156
4,4,40.327374,0.328931,40.656305,195
4,4,40.820678,0.311577,41.132255,234
4,4,39.981526,0.325996,40.307523,273
4,4,38.696980,0.322998,39.019978,312
4,4,39.635920,0.318689,39.954608,351
4,4,38.854703,0.296907,39.151609,390
4,8,46.811145,0.555142,47.366287,1
4,8,48.470100,0.484081,48.954181,2
4,8,50.227085,0.623200,50.850285,4
4,8,49.173746,0.449121,49.622867,8
4,8,43.469633,0.364562,43.834195,16
4,8,39.836507,0.410460,40.246967,39
4,8,38.216420,0.311978,38.528398,78
4,8,38.842569,0.283757,39.126326,117
4,8,39.735020,0.322398,40.057418,156
4,8,39.194697,0.323515,39.518212,195
